Version=2
US-Texas,Galveston,-94.8,29.3
US-Texas,Houston,-95.37,29.75
US-Texas,Laredo,-99.52,27.5
US-Texas,Lubbock,-101.85,33.58
US-Texas,San Angelo,-100.43,31.47
US-Texas,San Antonio,-98.48,29.43
US-Texas,Waco,-97.13,31.55
US-Texas,Wichita Falls,-98.48,33.92
US-Utah,Salt Lake City,-111.88,40.75
US-Vermont,Burlington,-73.22,44.48
US-Vermont,Montpelier,-72.58,44.27
US-Virgin Islands,Charlotte Amalie,-64.93,18.35
US-Virginia,Norfolk,-76.28,36.85
US-Virginia,Richmond,-77.43,37.53
US-Virginia,Roanoke,-79.95,37.27
US-Virginia,Virginia Beach,-75.97,36.85
US-Washington,Seattle,-122.33,47.62
US-Washington,Spokane,-117.43,47.67
US-Washington,Tacoma,-122.43,47.25
US-Washington,Walla Walla,-118.33,46.07
US-Washington,Yakima,-120.52,46.6
US-West Virginia,Charleston,-81.63,38.35
US-West Virginia,Huntington,-82.45,38.42
US-West Virginia,Wheeling,-80.72,40.07
US-Wisconsin,Eau Claire,-91.5,44.82
US-Wisconsin,Green Bay,-88.02,44.52
US-Wisconsin,Madison,-89.38,43.07
US-Wisconsin,Milwaukee,-87.9,43.03
US-Wisconsin,Racine,-87.78,42.73
US-Wisconsin,Sheboygan,-87.72,43.75
US-Wyoming,Cheyenne,-104.82,41.13
US-Wyoming,Sheridan,-106.95,44.8
Afghanistan,Kabul,69.18,34.47
Albania,Tirane,19.82,41.3
Algeria,Algiers,3.13,36.7
American Samoa,Pago Pago,-170.72,-14.27
Andorra,Andorra la Vella,1.53,42.52
Angola,Luanda,13.25,-8.83
Antigua and Barbuda,W. Indies,-61.8,17.33
Argentina,Buenos Aires,-58.5,-34.33
Armenia,Yerevan,44.52,40.17
Aruba,Oranjestad,-70.03,12.53
Australia,Adelaide,138.54,-34.77
Australia,Ayers Rock,131.08,-25.38
Australia,Brisbane,153.17,-27.5
Australia,Canberra,149.13,-35.25
Australia,Darwin,130.85,-12.47
Australia,Melbourne,144.97,-37.78
Australia,Perth,115.87,-31.95
Australia,Sydney,151.2,-33.87
Austria,Vienna,16.37,48.2
Azerbaijan,Baku,49.93,40.48
Bahamas,Nassau,-77.33,25.08
Bahrain,Manama,50.5,26.17
Bangladesh,Dhaka,90.43,23.72
Barbados,Bridgetown,-59.5,13.08
Belarus,Minsk,27.5,53.87
Belgium,Brussels,4.35,50.85
Belize,Belmopan,-88.5,17.3
Benin,Porto-Novo,2.7,6.38
Bhutan,Thimphu,89.75,27.52
Bolivia,La Paz,-68.17,-16.33
Bosnia and Herzegovina,Sarajevo,18.43,43.87
Botswana,Gaborone,25.95,-24.75
Brazil,Brasilia,-47.92,-15.87
British Virgin Islands,Road Town,-64.62,18.45
Brunei Darussalam,Bandar Seri Begawan,116.67,4.87
Bulgaria,Sofia,23.33,42.75
Burkina Faso,Ouagadougou,-1.5,12.25
Burundi,Bujumbura,29.3,-3.27
Cambodia,Phnom Penh,104.92,11.55
Cameroon,Yaounde,11.58,3.83
Canada-Alberta,Banff,-115.55,51.18
Canada-Alberta,Calgary,-114.08,51.05
Canada-Alberta,Cold Lake,-110.23,54.43
Canada-Alberta,Edmonton,-113.5,53.5
Canada-Alberta,Fort McMurray,-111.27,56.73
Canada-Alberta,Jasper,-118.05,53
Canada-Alberta,Lethbridge,-112.78,49.62
Canada-Alberta,Medicine Hat,-110.73,50.03
Canada-Alberta,Peace River,-117.4,56.23
Canada-British Columbia,Abbotsford,-122.32,49.03
Canada-British Columbia,Comox,-124.9,49.68
Canada-British Columbia,Cranbrook,-115.76,49.68
Canada-British Columbia,Fairmont Springs,-115.8,50.35
Canada-British Columbia,Fort Nelson,-122.63,58.8
Canada-British Columbia,Kamloops,-120.45,50.7
Canada-British Columbia,Point Atkinson,-123.26,49.33
Canada-British Columbia,Prince George,-122.69,53.92
Canada-British Columbia,Prince Rupert,-130.38,54.31
Canada-British Columbia,Triple Island,-130.88,54.29
Canada-British Columbia,Vancouver,-123.08,49.25
Canada-British Columbia,Victoria,-123.4,48.63
Canada-Manitoba,Churchill,-94.09,58.77
Canada-Manitoba,The Pas,-101.17,53.88
Canada-Manitoba,Winnipeg,-97.13,49.9
Canada-New Brunswick,Brandon,-99.95,49.85
Canada-New Brunswick,Chatham,-65.45,47.05
Canada-New Brunswick,Edmundston,-68.41,47.43
Canada-New Brunswick,Fredericton,-66.43,45.85
Canada-New Brunswick,Moncton,-64.67,46.11
Canada-New Brunswick,Saint John,-65.96,45.34
Canada-Newfoundland,Cape Race,-53.07,46.66
Canada-Newfoundland,Corner Brook,-57.97,48.95
Canada-Newfoundland,Gander,-54.57,48.93
Canada-Newfoundland,Goose Bay,-60.42,53.33
Canada-Newfoundland,Saint Johns,-52.71,47.08
Canada-Northwest Territories,Alert,-62.28,82.52
Canada-Northwest Territories,Echo Bay (Port Radium),-117.92,66.08
Canada-Northwest Territories,Fort McPherson,-134.85,67.43
Canada-Northwest Territories,Fort Simpson,-121.25,61.76
Canada-Northwest Territories,Great Slave Lake,-115.63,61.38
Canada-Northwest Territories,Iqaluit,-68.55,63.76
Canada-Northwest Territories,Yellowknife,-114.42,62.48
Canada-Nova Scotia,Glace Bay,-59.95,46.2
Canada-Nova Scotia,Halifax,-63.58,44.67
Canada-Nova Scotia,Saint Paul Island,-60.17,47.25
Canada-Nova Scotia,Sydney,-60.08,46.14
Canada-Nova Scotia,Western Head,-64.66,43.99
Canada-Ontario,Dryden,-92.83,49.77
Canada-Ontario,Fort Albany,-81.58,52.25
Canada-Ontario,Fort Severn,-87.67,56
Canada-Ontario,Guelph,-80.18,43.57
Canada-Ontario,Hamilton,-79.85,43.25
Canada-Ontario,Kapuskasing,-82.5,49.42
Canada-Ontario,Kenora,-94.35,49.8
Canada-Ontario,Kingston,-76.6,44.22
Canada-Ontario,Kitchener,-80.33,43.25
Canada-Ontario,London,-81.25,43
Canada-Ontario,Mississauga,-79.46,43.59
Canada-Ontario,North Bay,-79.46,46.32
Canada-Ontario,Ottawa,-75.67,45.42
Canada-Ontario,Point Petre (CCG DGPS REFSTA),-77.25,43.84
Canada-Ontario,Saint Catherines,-79.12,43.1
Canada-Ontario,Scarborough,-79.37,43.67
Canada-Ontario,Sioux Lookout,-91.92,50.07
Canada-Ontario,Sioux Narrows,-94,49.4
Canada-Ontario,Sudbury,-80.86,46.54
Canada-Ontario,Thunder Bay,-89.2,48.45
Canada-Ontario,Timmins,-81.33,48.48
Canada-Ontario,Toronto,-79.37,43.67
Canada-Ontario,Waterloo,-80.49,43.46
Canada-Ontario,Windsor,-82.97,42.28
Canada-Quebec,BaieComeau,-68.18,49.14
Canada-Quebec,Charlevoix,-70.19,47.61
Canada-Quebec,Chibougamau,-74.38,49.9
Canada-Quebec,Gaspe,-64.51,48.78
Canada-Quebec,Laval,-73.61,45.5
Canada-Quebec,MontJoli,-68.22,48.6
Canada-Quebec,Montreal,-73.58,45.5
Canada-Quebec,Quebec,-71.17,46.75
Canada-Quebec,Sept-Iles,-66.31,50.22
Canada-Quebec,Sherbrooke,-71.77,45.4
Canada-Quebec,Trois-Rivieres,-72.68,46.36
Canada-Quebec,Val-d-or,-77.78,48.08
Canada-Saskatchewan,Moose Jaw,-105.53,50.37
Canada-Saskatchewan,Prince Albert,-111.12,55.4
Canada-Saskatchewan,Regina,-104.5,50.5
Canada-Saskatchewan,Saskatoon,-106.6,52.15
Canada-Saskatchewan,Swift Current,-107.75,50.28
Canada-Yukon,Burwash,-139,61.33
Cape Verde,Praia,-23.57,15.03
Cayman Islands,George Town,-81.4,19.33
Central African Republic,Bangui,18.58,4.38
Chad,N'Djamena,14.98,12.17
Chile,Santiago,-70.67,-33.4
China,Beijing,116.33,39.92
Colombia,Bogota,-74,4.57
Comros,Moroni,43.27,-11.67
Congo,Brazzaville,15.2,-4.15
Costa Rica,San Jose,-84.03,9.92
Cote d'Ivoire,Yamoussoukro,-5.28,6.82
Croatia,Zagreb,15.97,45.83
Cuba,Havana,-82.37,23.13
Cyprus,Nicosia,33.42,35.17
Czech Republic,Prague,14.37,50.08
Democratic People's Republic of Korea,P'yongyang,125.5,39.15
Democratic Republic of the Congo,Kinshasa,15.25,-4.33
Denmark,Aalborg,9.85,57.1
Denmark,Copenhagen,12.57,55.68
Djibouti,Djibouti,42.33,11.13
Dominica,Roseau,-61.4,15.33
Dominica Republic,Santo Domingo,-69.98,18.5
East Timor,Dili,125.57,-8.48
Ecuador,Quito,-78.58,-0.25
Egypt,Cairo,31.23,30.02
El Salvador,San Salvador,-89.17,13.67
Equatorial Guinea,Malabo,8.83,3.75
Eritrea,Asmara,38.92,15.32
Estonia,Tallinn,24.8,59.37
Ethiopia,Addis Ababa,38.7,9.03
Falkland Islands (Malvinas),Stanley,-59.85,-51.67
